[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Close
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Unhandled window event type Urgent
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:38Z DEBUG swayr::daemon] Unhandled window event type Urgent
[2024-11-24T13:24:39Z DEBUG swayr::daemon] Locking-in focus on 86
[2024-11-24T13:24:39Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:39Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:39Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:39Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:39Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:39Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:40Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:40Z DEBUG swayr::daemon] Locking-in focus on 73
[2024-11-24T13:24:40Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:41Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:41Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:41Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:41Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:41Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:41Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:41Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:41Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:41Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:41Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:41Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:42Z DEBUG swayr::daemon] Locking-in focus on 87
[2024-11-24T13:24:42Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:42Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:42Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:43Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:44Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:44Z DEBUG swayr::daemon] Unhandled window event type FullscreenMode
[2024-11-24T13:24:44Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:46Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:46Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:49Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:50Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:51Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:25:00Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:25:30Z DEBUG swayr::daemon] Handled window event type Close
[2024-11-24T13:25:30Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:30Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:30Z DEBUG swayr::daemon] Locking-in focus on 73
[2024-11-24T13:25:31Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:32Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:25:32Z DEBUG swayr::daemon] Locking-in focus on 28
[2024-11-24T13:25:32Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:25:32Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:25:35Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:35Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:35Z DEBUG swayr::daemon] Locking-in focus on 28
[2024-11-24T13:25:36Z DEBUG swayr::daemon] Handled workspace event type Focus
